Record of Climatological Observations,,,,,,,,,,,,,,,,,,,,,,
"Station: Detroit Metro Airport, MI  US",,,,,,,,,,,,,,,,,,,,,,
National Oceanic & Atmospheric Administration,,,,,,,,,,,,,,,,,,,,,,
Documentation: ,,,,,,,,,,,,,,,,,,,,,,
"https://www.ncei.noaa.gov/access/services/data/v1?dataset=daily-summaries&startDate=2024-02-01&endDate=2024-02-29&stations=USW00094847&boundingBox=42.23113,-83.33121,42.23113,-83.33121&format=pdf",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2024,2,1,45,36,,,,0,,0,,T,,,,,,,,,,
2024,2,2,42,29,,,,0,,0,,0,,,,,,,,,,
2024,2,3,36,26,,,,0,,0,,0,,,,,,,,,,
2024,2,4,49,o,,,,0,,0,,0,,,,,,,,,,
2024,2,5,39,26,,,,0,,0,,0,,,,,,,,,,
2024,2,6,43,28,,,,0,,0,,0,,,,,,,,,,
2024,2,7,48,26,,,,0,,0,,0,,,,,,,,,,
2024,2,8,61,33,,,,T,,0,,0,,,,,,,,,,
2024,2,9,64,49,,,,T,,0,,0,,,,,,,,,,
2024,2,10,53,33,,,,0,,0,,0,,,,,,,,,,
2024,2,11,42,27,,,,0,,0,,0,,,,,,,,,,
2024,2,12,42,27,,,,0,,0,,0,,,,,,,,,,
2024,2,13,36,25,,,,0.01,,0.4,,0,,,,,,,,,,
2024,2,14,39,28,,,,T,,T,,T,,,,,,,,,,
2024,2,15,40,29,,,,0.11,,1.9,,0,,,,,,,,,,
2024,2,16,31,24,,,,0,,0,,T,,,,,,,,,,
2024,2,17,29,17,,,,0.02,,0.8,,T,,,,,,,,,,
2024,2,18,39,17,,,,T,,T,,1.2,,,,,,,,,,
2024,2,19,38,20,,,,0,,0,,0,,,,,,,,,,
2024,2,20,47,23,,,,0,,0,,0,,,,,,,,,,
2024,2,21,61,28,,,,0,,0,,0,,,,,,,,,,
2024,2,22,54,37,,,,0,,0,,0,,,,,,,,,,
2024,2,23,54,25,,,,T,,T,,0,,,,,,,,,,
2024,2,24,34,21,,,,T,,T,,0,,,,,,,,,,
2024,2,25,51,23,,,,0,,0,,0,,,,,,,,,,
2024,2,26,55,36,,,,0,,0,,0,,,,,,,,,,
2024,2,27,73,43,,,,T,,0,,0,,,,,,,,,,
2024,2,28,64,22,,,,0.1,,T,,0,,,,,,,,,,
2024,2,29,39,21,,,,0,,0,,0,,,,,,,,,,
