Weather Data for the Salt Lake City International Airport,,,,,,,,,,,,,,,,,,,,
"Obtained January 22, 2024",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
D/T: Date/Time (Local Time),,,,,,,,,,,,,,,,,,,,
T: Air Temperature (Fahrenheit),,,,,,,,,,,,,,,,,,,,
DPT: Dew Point Temperature (Fahrenheit),,,,,,,,,,,,,,,,,,,,
RH: Relative Humidity (%),,,,,,,,,,,,,,,,,,,,
WC: Wind Chill (Fahrenheit),,,,,,,,,,,,,,,,,,,,
WD: Wind Direction,,,,,,,,,,,,,,,,,,,,
WS: Wind Speed (mph),,,,,,,,,,,,,,,,,,,,
Vis: Visibility (miles),,,,,,,,,,,,,,,,,,,,
Wx: Weather during time of observation,,,,,,,,,,,,,,,,,,,,
Clds: Cloud cover,,,,,,,,,,,,,,,,,,,,
SLP: Sea Level Pressure (inHg),,,,,,,,,,,,,,,,,,,,
Press: Actual Pressure at the Station (inHg),,,,,,,,,,,,,,,,,,,,
Alt: Altimeter setting (inHg),,,,,,,,,,,,,,,,,,,,
1hrprecip: Total precipitation in the last 1 hour (inches),,,,,,,,,,,,,,,,,,,,
3hrprecip: Total precipitation in the last 3 hours (inches),,,,,,,,,,,,,,,,,,,,
6hrprecip: Total precipitation in the last 6 hours (inches),,,,,,,,,,,,,,,,,,,,
24hrprecip: Total precipitation in the last 24 hours (inches),,,,,,,,,,,,,,,,,,,,
6hrmax: Maximum Temperature over the last 6 hours,,,,,,,,,,,,,,,,,,,,
6hrmin: Minimum Temperature over the last 6 hours,,,,,,,,,,,,,,,,,,,,
24hrmax: Maximum Temperature over the last 24 hours,,,,,,,,,,,,,,,,,,,,
24hrmax: Minimum Temperature over the last 24 hours,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
D/T,T,DPT,RH,WC,WD,WS,Vis,Wx,Clds,SLP,Press,Alt,1hrprecip,3hrprecip,6hrprecip,24hrprecip,6hrmax,6hrmin,24hrmax,24hrmin
"Jan 22, 11:00 am",45,37,76,40,SE,8,10,,OVC065,,25.59,29.88,,,,,,,,
"Jan 22, 10:00 am",,35,79,34,S,13,10,,OVC065,,25.58,29.87,,,,,,,,
"Jan 22, 9:00 am",37,36,93,,ESE,3,6,Mist,OVC060,,25.58,29.87,,,,,,,,
"Jan 22, 8:00 am",34,32,93,,ESE,5,6,Mist,BKN060,,25.58,29.87,,,,,,,,
"Jan 22, 7:00 am",34,32,92,29,SSE,6,6,Mist,CLR,,25.56,29.85,,,,,,,,
"Jan 22, 6:00 am",34,32,92,,SSE,5,6,Mist,CLR,,25.55,29.83,,,,,,,,
"Jan 22, 5:00 am",34,33,96,,SE,5,8,,FEW055,,25.55,29.84,,,,,,,,
"Jan 22, 4:00 am",34,33,96,29,SE,6,7,,CLR,,25.56,29.85,,,,,,,,
"Jan 22, 3:00 am",35,33,92,,ESE,5,7,,BKN028,,25.57,29.86,,,,,,,,
"Jan 22, 2:00 am",37,35,92,,ESE,5,7,,CLR,,25.57,29.86,,,,,,,,
"Jan 22, 1:00 am",39,36,89,35,E,6,10,,BKN070,,25.57,29.86,,,,,,,,
"Jan 22, 12:00 am",40,37,89,,ESE,5,7,,OVC070,,25.57,29.86,,,,,,,,
"Jan 21, 11:00 pm",39,37,93,33,SSE,10,10,,BKN070,,25.57,29.86,,,,,,,,
"Jan 21, 10:00 pm",41,37,87,35,SE,9,8,,OVC070,,25.57,29.86,,,,,,,,
"Jan 21, 9:00 pm",42,38,85,38,SSE,7,10,,OVC050,,25.58,29.87,,,,,,,,
"Jan 21, 8:00 pm",41,37,87,36,SE,7,7,,OVC050,,25.58,29.87,,,,,,,,
"Jan 21, 7:00 pm",42,39,89,38,SSE,7,7,,OVC065,,25.57,29.86,,,,,,,,
"Jan 21, 6:00 pm",40,37,89,,NE,3,3,"Lt rain, Mist",BKN030 OVC038,,25.57,29.86,T,,,,,,,
"Jan 21, 5:00 pm",43,38,82,,WNW,3,3,Lt rain,OVC032,,25.56,29.85,T,,,,,,,
"Jan 21, 4:00 pm",45,37,76,,N,0,7,Lt rain,BKN032 OVC043,,25.55,29.83,T,,,,,,,
"Jan 21, 3:00 pm",43,39,87,,N,0,5,"Lt rain, Mist",SCT030 BKN050 OVC055,,25.54,29.82,T,,,,,,,
"Jan 21, 2:00 pm",41,37,86,,N,0,5,Mist,SCT034 BKN044 OVC055,,25.54,29.82,T,,,,,,,
"Jan 21, 1:00 pm",40,35,83,,WNW,5,7,Lt rain,OVC032,,25.55,29.83,T,,,,,,,
"Jan 21, 12:00 pm",41,36,82,,N,0,7,Lt rain,OVC065,,25.55,29.84,T,,,,,,,
"Jan 21, 11:00 am",37,33,85,,WNW,5,7,Lt rain,FEW035 BKN055 OVC070,,25.57,29.86,T,,,,,,,
"Jan 21, 10:00 am",37,32,81,31,NW,8,6,Haze,OVC070,,25.56,29.85,,,,,,,,
"Jan 21, 9:00 am",34,30,85,29,WNW,6,7,,BKN065,,25.55,29.83,,,,,,,,
"Jan 21, 8:00 am",35,32,88,,N,0,3,Mist,OVC080,,25.53,29.81,,,,,,,,
"Jan 21, 7:00 am",33,31,92,,N,0,8,,OVC110,,25.53,29.81,,,,,,,,
"Jan 21, 6:00 am",32,31,96,,WSW,3,8,,OVC120,,25.53,29.81,,,,,,,,
"Jan 21, 5:00 am",33,30,88,28,N,6,8,,OVC100,,25.54,29.82,,,,,,,,
"Jan 21, 4:00 am",34,31,88,,WNW,3,8,,OVC095,,25.54,29.82,,,,,,,,
"Jan 21, 3:00 am",39,32,76,,SSE,5,10,,OVC095,,25.54,29.82,,,,,,,,
"Jan 21, 2:00 am",38,32,79,31,SE,9,10,,CLR,,25.54,29.82,,,,,,,,
"Jan 21, 1:00 am",38,31,76,33,SE,7,10,,CLR,,25.54,29.82,,,,,,,,
"Jan 21, 12:00 am",39,32,76,32,SE,10,10,,FEW070 BKN100,,25.55,29.83,,,,,,,,
"Jan 20, 11:00 pm",37,32,81,31,SE,8,10,,SCT100,,25.55,29.84,,,,,,,,
"Jan 20, 10:00 pm",39,33,79,35,ESE,6,10,,BKN085,,25.56,29.85,,,,,,,,
"Jan 20, 9:00 pm",41,34,76,,N,0,10,,CLR,,25.56,29.85,,,,,,,,
"Jan 20, 8:00 pm",41,34,76,37,SE,6,10,,CLR,,25.55,29.83,,,,,,,,
"Jan 20, 7:00 pm",43,35,73,39,SE,7,10,,CLR,,25.56,29.85,,,,,,,,
"Jan 20, 6:00 pm",44,35,70,39,S,10,10,,SCT085,,25.56,29.85,,,,,,,,
"Jan 20, 5:00 pm",46,36,68,,S,10,10,,BKN075 OVC120,,25.56,29.85,,,,,,,,
"Jan 20, 4:00 pm",45,36,71,38,S,15,10,,OVC065,,25.57,29.86,,,,,,,,
"Jan 20, 3:00 pm",46,34,63,,SSE,13G25,10,,BKN070 OVC095,,25.57,29.86,,,,,,,,
"Jan 20, 2:00 pm",48,29,47,,S,12,10,,BKN090,,25.58,29.87,,,,,,,,
"Jan 20, 1:00 pm",41,32,70,,N,3,3.5,Haze,FEW065 FEW075 SCT120,,25.61,29.9,,,,,,,,
"Jan 20, 12:00 pm",39,31,72,,W,3,9,,OVC080,,25.62,29.92,,,,,,,,
"Jan 20, 11:00 am",39,32,75,,N,0,4,Haze,SCT080 BKN110,,25.64,29.94,,,,,,,,
"Jan 20, 10:00 am",36,30,79,31,W,6,8,,SCT100,,25.64,29.94,,,,,,,,
"Jan 20, 9:00 am",36,29,75,,N,0,5,Haze,BKN110,,25.63,29.93,,,,,,,,
"Jan 20, 8:00 am",39,29,67,33,ESE,9,10,,CLR,,25.62,29.92,,,,,,,,
"Jan 20, 7:00 am",35,30,82,28,ESE,9,9,,CLR,,25.63,29.93,,,,,,,,
"Jan 20, 6:00 am",31,28,89,,WNW,3,7,,FEW120 BKN160 BKN250,,25.63,29.93,,,,,,,,
"Jan 20, 5:00 am",30,28,92,,N,0,7,,FEW110 SCT160 BKN230,,25.66,29.96,,,,,,,,
"Jan 20, 4:00 am",32,29,88,,N,0,7,,FEW110 SCT150 BKN220,,25.66,29.96,,,,,,,,
"Jan 20, 3:00 am",34,30,86,,N,0,6,Mist,CLR,,25.67,29.97,,,,,,,,
"Jan 20, 2:00 am",34,30,85,,N,5,5,Mist,CLR,,25.67,29.98,,,,,,,,
"Jan 20, 1:00 am",34,28,80,,N,0,6,Mist,CLR,,25.69,30,,,,,,,,
"Jan 20, 12:00 am",35,30,82,,N,0,7,,CLR,,25.71,30.02,,,,,,,,
"Jan 19, 11:00 pm",35,29,78,,N,,7,,FEW120,,25.72,30.04,,,,,,,,
"Jan 19, 10:00 pm",36,30,80,31,SSE,6,8,,SCT100 BKN120,,25.73,30.05,,,,,,,,
"Jan 19, 9:00 pm",36,30,79,,N,,9,,BKN110,,25.74,30.06,,,,,,,,
"Jan 19, 8:00 pm",36,29,75,,W,3,10,,FEW120,,25.76,30.08,,,,,,,,
"Jan 19, 7:00 pm",36,29,75,,W,3,10,,FEW120,,25.78,30.1,,,,,,,,
"Jan 19, 6:00 pm",38,29,70,33,WNW,6,10,,SCT120,,25.78,30.1,,,,,,,,
"Jan 19, 5:00 pm",40,30,67,35,WNW,7,10,,CLR,,25.78,30.11,,,,,,,,
"Jan 19, 4:00 pm",43,30,60,39,NNW,6,10,,CLR,,25.79,30.12,,,,,,,,
"Jan 19, 3:00 pm",46,30,53,,N,6,10,,CLR,,25.81,30.14,,,,,,,,
"Jan 19, 2:00 pm",50,31,48,,N,0,10,,CLR,,25.82,30.15,,,,,,,,
"Jan 19, 1:00 pm",43,28,55,,N,0,10,,FEW100,,25.84,30.18,,,,,,,,
"Jan 19, 12:00 pm",41,28,60,,N,0,10,,BKN120,,25.87,30.21,,,,,,,,
